nombre,tipo,telefono,direccion,municipio,departamento
SECRETARIA DE MOVILIDAD MUNICIPAL DE VIJES,Organismos de Tránsito,2520280,CLL 6 # 5-37,VIJES,VALLE DEL CAUCA
SECRETARIA DE TRANSITO Y TRANSPORTE MUNICIPIO DE SILVANIA,Organismos de Tránsito,3183636978,PALACIO MUNICIPAL,SILVANIA,CUNDINAMARCA
SECRETARIA DE TRÁNSITO-DEL MUNICIPIO DE LA MESA-CUNDINAMARCA,Organismos de Tránsito,0,CALLE 8 CARRERA 21 ESQUINA,LA MESA,CUNDINAMARCA
SECRETARIA DE TRANSPORTE Y MOVILIDAD DE ZIPAQUIRA,Organismos de Tránsito,8512064,CALLE 1 # 10-04 CENTRO COMERCIAL LA CASONA PISO 3,ZIPAQUIRA,CUNDINAMARCA
SECRETARÍA DE TTOYTTE MCPAL CHIGORODO,Organismos de Tránsito,8253630,CRR 104A100-108,CHIGORODO,ANTIOQUIA
SECRETARIA DISTRITAL DE MOVILIDAD DE BOGOTA,Organismos de Tránsito,3649400,CALLE 13 NO. 37 - 35,"BOGOTA, D.C.","BOGOTÁ, D. C."
SECRETARIA DPTAL TTOyTTE SUCRE/SAMPUES,Organismos de Tránsito,2830715,TRANSVERSAL 21 NO. 21A-4. BARRIO EL PORVENIR,SAMPUES,SUCRE
SRIA TTOyTTE MPAL VALLE GUAMUEZ/HORMIGA,Organismos de Tránsito,4282332,CALLE 9 NO. 5-32 LAS AMERICAS SECRETARIA DE TRANSITO,VALLE DEL GUAMUEZ,PUTUMAYO
STARIA TTO Y MOVILIDAD DEL MCPIO DE LEBRIJA,Organismos de Tránsito,6567100,CLL 11  8 59,LEBRIJA,SANTANDER
STRIA DE MOVILIDAD DEL MCPIO DE GUARNE,Organismos de Tránsito,5510025,CARRERA 50 #52-02,GUARNE,ANTIOQUIA
STRIA DE MOVILIDAD DEL MUNICIPIO DE VILLA RICA CAUCA,Organismos de Tránsito,8486212,VILLA RICA,VILLA RICA,CAUCA
STRIA DE MOVILIDAD MPAL FUSAGASUGA,Organismos de Tránsito,8868181,CARRERA 6 NO. 6 - 24. ALCALDIA MUNICIPAL,FUSAGASUGA,CUNDINAMARCA
STRIA DE TTO y TTE DE EL PASO-CESAR,Organismos de Tránsito,5530473,CALLE 3  3-52 BARRIO CENTRO,EL PASO,CESAR
"STRIA DE TTO, TTE y MOVILIDAD CUND/SESQUILE",Organismos de Tránsito,3185259586,CRA 7 N 4-86,SESQUILE,CUNDINAMARCA
"STRIA DE TTO, TTE y MOVILIDAD MUNICIPAL DE COTA",Organismos de Tránsito,3017917008,CRA 4 #12-63,COTA,CUNDINAMARCA
STRIA DE TTOyTTE CAREPA,Organismos de Tránsito,8238445,CALLE 70 CON CARRERA 80 EDIFICIO CENTRO DE ACOPIO DE TRANSPORTE DE CAREPA,CAREPA,ANTIOQUIA
STRIA DE TTOyTTE CARTAGO,Organismos de Tránsito,2124847,CALLE 10 NO. 14-131 PISO 2,CARTAGO,VALLE DEL CAUCA
STRIA DE TTOYTTE DEL MCPIO DE MARINILLA,Organismos de Tránsito,5484884,CALLE 28B N° 34-32 PLAZA DE MERCADO,MARINILLA,ANTIOQUIA
STRIA DE TTOyTTE MALAMBO,Organismos de Tránsito,3478165,CALLE 11 KRA 15 ESQUINA,MALAMBO,ATLÁNTICO
STRIA DE TTOYTTE MCPAL ARMENIA,Organismos de Tránsito,7411355,CARRERA 19A CON CALLE 26 CENTRO CULTURAL METROPOLITANO LA ESTACION,ARMENIA,QUINDÍO
STRIA DE TTOyTTE MCPAL CURUMANI,Organismos de Tránsito,5750195,CALLE 7 NO. 15 - 104. ALCALDIA MUNICIPAL,CURUMANI,CESAR
STRIA DE TTOyTTE MCPAL DE GINEBRA,Organismos de Tránsito,2561100,CRA 3 NO 4 17,GINEBRA,VALLE DEL CAUCA
STRIA DE TTOyTTE MCPAL DE SAN SEBASTIAN DE MARIQUITA TOLIMA,Organismos de Tránsito,2522903,CALLE 4 CON CARRERA 3 ESQUINA 2 PISO,MARIQUITA,TOLIMA
STRIA DE TTOyTTE MCPAL SAN ONOFRE,Organismos de Tránsito,3012324346,CENTRO PLAZA PRINCIP,SAN ONOFRE,SUCRE
STRIA DE TTOyTTE MEDELLIN,Organismos de Tránsito,4457700,CARRERA 64 C NO. 72-58 - BARRIO CARIBE - MEDELLIN,MEDELLIN,ANTIOQUIA
STRIA DE TTOyTTE TUNJA,Organismos de Tránsito,7443841,CARRERA 6 # 50 – 51 BODEGA 15,TUNJA,BOYACÁ
STRIA DPTAL TTOyTTE CORDOBA/APARTADA,Organismos de Tránsito,033-3002510401,CALLE 20 CON CRA 12 ESQUINA TRONCAL DE OCCIDENTE,LA APARTADA,CÓRDOBA
STRIA DPTAL TTOyTTE CORDOBA/CHINU,Organismos de Tránsito,PBX: 7926297 30141003299,CALLE 27 NO 3-28 PISO 2 AL 8 Y CRA 13 NO 15-60 CARRETERA CENTRAL HINÚ CÓRDOBA,CHINU,CÓRDOBA
STRIA DTAL TTO BARRANQUILLA,Organismos de Tránsito,3694906,CARRERA 46 # 82 - 225,BARRANQUILLA,ATLÁNTICO
STRIA GOB TTOyTTE MELGAR,Organismos de Tránsito,2452625,CALLE 6 CARRERA 22 ESQUINA,MELGAR,TOLIMA
STRIA INFR PROD TTOyTTE MPAL GUADALUPE,Organismos de Tránsito,8321383,CALLE 3 NO 6 - 55 BARRIO INDUSTRIAL,GUADALUPE,HUILA
STRIA MCPAL  TTOyTTE CHIQUINQUIRÁ,Organismos de Tránsito,7262572,CALLE 17 7A -48 ALCALDIA MUNICIPAL TERCER PISO,CHIQUINQUIRA,BOYACÁ
STRIA MCPAL DE SOACHA,Organismos de Tránsito,5755700,CLL 13  7 - 30,SOACHA,CUNDINAMARCA
STRIA MCPAL TTEyTTO APARTADO,Organismos de Tránsito,3126400 EXT 105,CARRERA 100 NO 103A - 02 CENTRO ADMINISTRATIVO,APARTADO,ANTIOQUIA
